name,team,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
SR Watson,CSK/RCB/RR,2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
KA Pollard,MI,2010-2022,189,171,52,3412,87*,28.67,2316,147.32,0,16,5,218,223
YK Pathan,KKR/RR/SRH,2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
RA Jadeja,CSK/GL/Kochi/RR,2008-2024,240,184,76,2959,62*,27.39,2280,129.78,0,3,8,215,107
GJ Maxwell,DC/KXIP/MI/RCB,2012-2024,134,129,17,2771,95,24.74,1768,156.73,0,18,18,232,160
HH Pandya,GT/MI,2015-2024,137,128,40,2525,91,28.69,1734,145.61,0,10,6,189,136
KH Pandya,LSG/MI,2016-2024,127,111,38,1647,86,22.56,1240,132.82,0,1,6,144,61
DJ Bravo,CSK/GL/MI,2008-2022,161,113,44,1560,70*,22.6,1204,129.56,0,5,5,120,66
SP Narine,KKR,2012-2024,177,110,20,1534,109,17.04,925,165.83,1,7,16,164,97
IK Pathan,DC/GL/KXIP/RPS/SRH,2008-2017,103,82,29,1139,60,21.49,946,120.4,0,1,3,87,37
MC Henriques,DC/KKR/PBKS/RCB/SRH,2009-2021,62,54,18,1000,74*,27.77,788,126.9,0,5,2,87,28
JA Morkel,CSK/DC/RCB/RPS,2008-2016,91,68,28,974,73*,24.35,686,141.98,0,3,3,61,55
SM Curran,CSK/KXIP/PBKS,2019-2024,59,48,13,883,63*,25.22,647,136.47,0,5,4,74,37
Harbhajan Singh,CSK/KKR/MI,2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42
R Ashwin,CSK/DC/KXIP/RPS/RR,2009-2024,212,94,34,800,50,13.33,675,118.51,0,1,12,61,28
Shakib Al Hasan,KKR/SRH,2011-2021,71,52,12,793,66*,19.82,637,124.48,0,2,4,73,21
MR Marsh,DC/DCH/PWI/RPS/SRH,2010-2024,42,36,2,665,89,19.55,521,127.63,0,3,5,48,38
PP Chawla,CSK/KKR/KXIP/MI,2008-2024,192,92,36,624,24*,11.14,563,110.83,0,0,16,56,20
CH Morris,CSK/DC/RCB/RR,2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35
Rashid Khan,GT/SRH,2017-2024,121,60,23,545,79*,14.72,337,161.72,0,1,15,39,38
JP Faulkner,GL/KXIP/PWI/RR,2011-2017,60,45,20,527,46,21.08,389,135.47,0,0,0,36,23
PJ Cummins,DC/KKR/SRH,2014-2024,58,41,15,515,66*,19.8,344,149.7,0,3,4,33,34
