name,team,span,matches,innings,overs,maidens,runs,wickets,best_bowling_figure,average,economy,strike_rate,4-fer,5-fer
PP Chawla,CSK/KKR/KXIP/MI,2008-2024,192,191,3850,641.4,2,5108,192,4/17,26.6,7.96,20.05,2
DJ Bravo,CSK/GL/MI,2008-2022,161,158,3119,519.5,3,4360,183,4/22,23.82,8.38,17.04,2
SP Narine,KKR,2012-2024,177,175,4075,679.1,3,4571,180,5/19,25.39,6.73,22.63,7
R Ashwin,CSK/DC/KXIP/RPS/RR,2009-2024,212,208,4524,754.0,4,5369,180,4/34,29.82,7.12,25.13,1
RA Jadeja,CSK/GL/Kochi/RR,2008-2024,240,211,3829,638.1,2,4864,160,5/16,30.4,7.62,23.93,3
Harbhajan Singh,CSK/KKR/MI,2008-2021,163,160,3416,569.2,6,4030,150,5/18,26.86,7.07,22.77,1
Rashid Khan,GT/SRH,2017-2024,121,121,2859,476.3,4,3252,149,4/24,21.82,6.82,19.18,2
CH Morris,CSK/DC/RCB/RR,2013-2021,81,81,1720,286.4,1,2295,95,4/23,24.15,8.0,18.1,4
SR Watson,CSK/RCB/RR,2008-2020,145,105,2029,338.1,3,2682,92,4/29,29.15,7.93,22.05,1
JA Morkel,CSK/DC/RCB/RPS,2008-2016,91,87,1723,287.1,3,2355,85,4/32,27.7,8.2,20.27,1
IK Pathan,DC/GL/KXIP/RPS/SRH,2008-2017,103,101,2043,340.3,10,2649,80,3/24,33.11,7.77,25.53,0
KH Pandya,LSG/MI,2016-2024,127,117,2122,353.4,1,2606,76,3/11,34.28,7.36,27.92,0
KA Pollard,MI,2010-2022,189,107,1488,248.0,0,2180,69,4/44,31.59,8.79,21.56,1
HH Pandya,GT/MI,2015-2024,137,93,1418,236.2,0,2150,64,3/17,33.59,9.09,22.15,0
Shakib Al Hasan,KKR/SRH,2011-2021,71,70,1484,247.2,1,1839,63,3/17,29.19,7.43,23.55,0
PJ Cummins,DC/KKR/SRH,2014-2024,58,58,1319,219.5,2,1923,63,4/34,30.52,8.74,20.93,1
JP Faulkner,GL/KXIP/PWI/RR,2011-2017,60,60,1227,204.3,4,1778,59,5/16,30.13,8.69,20.79,0
SM Curran,CSK/KXIP/PBKS,2019-2024,59,58,1181,196.5,0,1900,58,4/11,32.75,9.65,20.36,1
MC Henriques,DC/KKR/PBKS/RCB/SRH,2009-2021,62,60,950,158.2,0,1289,42,3/12,30.69,8.14,22.61,0
YK Pathan,KKR/RR/SRH,2008-2019,174,82,1147,191.1,1,1415,42,3/20,33.69,7.4,27.3,0
MR Marsh,DC/DCH/PWI/RPS/SRH,2010-2024,42,34,560,93.2,1,795,37,4/25,21.48,8.51,15.13,2
GJ Maxwell,DC/KXIP/MI/RCB,2012-2024,134,79,944,157.2,1,1303,37,2/15,35.21,8.28,25.51,0
